,country,variable,1998-2002,2003-2007,2008-2012,2013-2017
195,Belize,Rural population with access to safe drinking-water (JMP) (%),82.2,91.5,100.0,100.0
196,Belize,Urban population with access to safe drinking-water (JMP) (%),93.4,95.9,98.4,98.9
198,Benin,Rural population (1000 inhab),4447.579,4941.169,5436.123,5949.046
199,Benin,Urban population (1000 inhab),2847.815,3513.622,4293.037,5226.646
200,Benin,Population density (inhab/km2),63.5708783548,73.6736929244,84.7790955037,97.37886023
201,Benin,GDP per capita (current US$/inhab),418.702507,706.041722,834.303975,829.419035
202,Benin,Human Development Index (HDI) [highest = 1] (-),0.419,0.455,0.489,0.515
203,Benin,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.634,0.6126666667,0.6143
204,Benin,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),19.0139539707,21.5600446144,23.2142422151,20.9392263117
205,Benin,Total population with access to safe drinking-water (JMP) (%),67.7,72.0,76.2,77.9
206,Benin,Rural population with access to safe drinking-water (JMP) (%),60.5,65.3,70.2,72.1
207,Benin,Urban population with access to safe drinking-water (JMP) (%),79.1,81.6,84.2,85.2
220,Bolivia (Plurinational State of),Rural population (1000 inhab),3220.542,3296.72,3346.648,3417.155
221,Bolivia (Plurinational State of),Urban population (1000 inhab),5432.803,6144.724,6892.356,7634.445
222,Bolivia (Plurinational State of),Population density (inhab/km2),7.9582861512,8.7007218409,9.4464454113,10.1884751224
223,Bolivia (Plurinational State of),GDP per capita (current US$/inhab),913.575635,1389.626895,2645.227747,3393.959523
224,Bolivia (Plurinational State of),Human Development Index (HDI) [highest = 1] (-),0.625,0.638,0.663,0.7
225,Bolivia (Plurinational State of),Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5624,0.5164,0.474,0.4443
226,Bolivia (Plurinational State of),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),228.5755981305,216.9546172495,201.2011167047,186.5475787902
227,Bolivia (Plurinational State of),Total population with access to safe drinking-water (JMP) (%),80.3,84.6,88.5,90.0
228,Bolivia (Plurinational State of),Rural population with access to safe drinking-water (JMP) (%),58.0,65.3,72.7,75.6
229,Bolivia (Plurinational State of),Urban population with access to safe drinking-water (JMP) (%),93.6,94.9,96.2,96.7
242,Botswana,Rural population (1000 inhab),808.627,805.426,736.104,717.29
243,Botswana,Urban population (1000 inhab),971.326,1108.988,1353.211,1574.371
244,Botswana,Population density (inhab/km2),2.9302975607,3.2239337837,3.5060182559,3.7905557561
245,Botswana,GDP per capita (current US$/inhab),3055.615173,5714.033395,6901.907802,7595.147598
246,Botswana,Human Development Index (HDI) [highest = 1] (-),0.576,0.625,0.687,0.724
247,Botswana,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5314,0.5198,0.4896666667,0.4801
248,Botswana,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),116.1790196203,107.603557639,95.2658323674,87.5251691549
249,Botswana,Total population with access to safe drinking-water (JMP) (%),95.0,95.5,96.1,96.2
250,Botswana,Rural population with access to safe drinking-water (JMP) (%),89.7,90.9,92.0,92.3
251,Botswana,Urban population with access to safe drinking-water (JMP) (%),99.4,99.3,99.2,99.2
253,Brazil,Rural population (1000 inhab),32643.261,31618.718,30238.865,28654.406
254,Brazil,Urban population (1000 inhab),147507.76,159407.919,170322.118,180633.872
255,Brazil,Population density (inhab/km2),21.0829461106,22.3268645114,23.4021467231,24.4057581405
256,Brazil,GDP per capita (current US$/inhab),2842.227202,7313.714303,12291.664395,9812.31098
257,Brazil,Human Development Index (HDI) [highest = 1] (-),0.698,0.705,0.734,0.76
258,Brazil,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4982,0.4622,0.4426666667,0.4569
259,Brazil,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),316.3127127967,327.4593958633,350.9004354563,316.0265208613
260,Brazil,Total population with access to safe drinking-water (JMP) (%),94.2,95.9,97.5,98.1
261,Brazil,Rural population with access to safe drinking-water (JMP) (%),77.3,81.3,85.4,87.0
262,Brazil,Urban population with access to safe drinking-water (JMP) (%),97.9,98.8,99.6,100.0
275,Bulgaria,Rural population (1000 inhab),2397.299,2173.353,1975.613,1794.614
276,Bulgaria,Urban population (1000 inhab),5468.787,5393.596,5334.77,5289.957
277,Bulgaria,Population density (inhab/km2),70.8734030093,68.2583063063,66.0720990991,63.985981982
278,Bulgaria,GDP per capita (current US$/inhab),2085.285881,5868.092253,7388.398564,8321.113046
279,Bulgaria,Human Development Index (HDI) [highest = 1] (-),0.729,0.764,0.786,0.813
280,Bulgaria,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.2252,0.2146666667,0.2116
281,Bulgaria,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),837.6302830362,818.5651959066,779.2470223969,796.6975874783
282,Bulgaria,Total population with access to safe drinking-water (JMP) (%),99.7,99.6,99.5,99.4
283,Bulgaria,Rural population with access to safe drinking-water (JMP) (%),99.4,99.2,99.0,99.0
284,Bulgaria,Urban population with access to safe drinking-water (JMP) (%),99.8,99.7,99.6,99.6
297,Burundi,Rural population (1000 inhab),6156.269,7156.384,8276.416,9483.827
298,Burundi,Urban population (1000 inhab),585.3,783.189,1043.294,1380.418
299,Burundi,Population density (inhab/km2),240.8951850521,282.5085878548,332.2309737693,389.0412863816
300,Burundi,GDP per capita (current US$/inhab),93.168453,170.815038,249.72898,296.110481
301,Burundi,Human Development Index (HDI) [highest = 1] (-),0.304,0.363,0.416,0.421
302,Burundi,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.571,0.5216,0.5026666667,0.4916
303,Burundi,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),42.4873506756,35.6260971782,30.2942205852,25.8704635135
304,Burundi,Total population with access to safe drinking-water (JMP) (%),72.4,73.8,75.3,75.9
305,Burundi,Rural population with access to safe drinking-water (JMP) (%),70.4,71.8,73.2,73.8
306,Burundi,Urban population with access to safe drinking-water (JMP) (%),93.5,92.5,91.5,91.1
319,Cambodia,Rural population (1000 inhab),10256.921,11021.653,11668.224,12327.338
320,Cambodia,Urban population (1000 inhab),2377.808,2655.04,3108.642,3678.035
321,Cambodia,Population density (inhab/km2),69.8062693327,75.5632015024,81.6419244366,88.4302308882
322,Cambodia,GDP per capita (current US$/inhab),339.493035,631.676141,951.111743,1385.609732
323,Cambodia,Human Development Index (HDI) [highest = 1] (-),0.453,0.516,0.548,0.578
324,Cambodia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5802,0.5288,0.5013333333,0.4775
325,Cambodia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),,159.649566278,147.76271419,136.4197766451
326,Cambodia,Total population with access to safe drinking-water (JMP) (%),46.1,57.4,68.8,75.5
327,Cambodia,Rural population with access to safe drinking-water (JMP) (%),42.2,52.6,62.9,69.1
328,Cambodia,Urban population with access to safe drinking-water (JMP) (%),62.9,77.4,91.9,100.0
330,Cameroon,Rural population (1000 inhab),8567.125,9244.465,9957.503,10637.19
331,Cameroon,Urban population (1000 inhab),7517.761,9150.924,11124.88,13416.537
332,Cameroon,Population density (inhab/km2),34.4051867744,39.3956797914,45.1902763756,51.6701855124
333,Cameroon,GDP per capita (current US$/inhab),731.699952,1215.808257,1380.509379,1455.460927
334,Cameroon,Human Development Index (HDI) [highest = 1] (-),0.457,0.481,0.524,0.56
335,Cameroon,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.6536,0.6263333333,0.5873
336,Cameroon,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),62.0628867239,58.1091090887,50.6579741977,44.3050055253
337,Cameroon,Total population with access to safe drinking-water (JMP) (%),63.8,69.0,74.1,75.6
338,Cameroon,Rural population with access to safe drinking-water (JMP) (%),43.5,47.7,51.9,52.7
339,Cameroon,Urban population with access to safe drinking-water (JMP) (%),86.9,90.5,94.1,94.8
341,Canada,Rural population (1000 inhab),6299.155,6473.183,6583.389,6830.253
342,Canada,Urban population (1000 inhab),25021.734,26546.749,28317.316,29793.946
343,Canada,Population density (inhab/km2),3.1226132661,3.2981354416,3.4975647668,3.7179174574
344,Canada,GDP per capita (current US$/inhab),24285.404157,44482.932593,52396.830577,45057.287226
345,Canada,Human Development Index (HDI) [highest = 1] (-),0.877,0.891,0.906,0.921
346,Canada,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.1402,0.137,0.1292
347,Canada,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1307.4661603029,1254.7526184762,1104.4188554534,969.0980054364
348,Canada,Total population with access to safe drinking-water (JMP) (%),99.8,99.8,99.8,99.8
349,Canada,Rural population with access to safe drinking-water (JMP) (%),99.0,99.0,99.0,99.0
350,Canada,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
352,Central African Republic,Rural population (1000 inhab),2430.45,2636.499,2721.724,2749.797
353,Central African Republic,Urban population (1000 inhab),1477.162,1639.301,1768.692,1909.283
354,Central African Republic,Population density (inhab/km2),6.1031301165,6.7385951395,7.1212815821,7.377480818
355,Central African Republic,GDP per capita (current US$/inhab),265.450795,410.432816,498.116431,428.701433
356,Central African Republic,Human Development Index (HDI) [highest = 1] (-),0.314,0.334,0.37,0.376
357,Central African Republic,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.675,0.6575,0.6549
358,Central African Republic,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),18.0740890365,17.2700874938,16.3420202253,15.7745076559
359,Central African Republic,Total population with access to safe drinking-water (JMP) (%),63.4,65.7,68.2,68.5
360,Central African Republic,Rural population with access to safe drinking-water (JMP) (%),50.4,52.4,54.4,54.4
361,Central African Republic,Urban population with access to safe drinking-water (JMP) (%),84.8,87.2,89.6,89.6
374,Chile,Rural population (1000 inhab),2092.618,2160.337,2217.485,2258.558
375,Chile,Urban population (1000 inhab),13531.017,14331.35,15092.261,15796.168
376,Chile,Population density (inhab/km2),20.7438288586,21.8624454437,23.0132879249,24.4286955625
377,Chile,GDP per capita (current US$/inhab),4486.664579,10526.878133,15431.902825,15383.587714
378,Chile,Human Development Index (HDI) [highest = 1] (-),0.767,0.801,0.818,0.845
379,Chile,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4206,0.3828,0.3576666667,0.3376
380,Chile,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1983.1340609828,2143.4108914021,2036.2237603652,1918.2543522653
381,Chile,Total population with access to safe drinking-water (JMP) (%),95.6,97.3,98.7,99.0
382,Chile,Rural population with access to safe drinking-water (JMP) (%),71.7,81.5,91.3,93.3
383,Chile,Urban population with access to safe drinking-water (JMP) (%),99.3,99.5,99.6,99.7
385,China,Rural population (1000 inhab),806104.331,738685.151,669007.424,597816.52
386,China,Urban population (1000 inhab),521893.97,628350.588,737124.022,843314.783
387,China,Population density (inhab/km2),139.24637,143.3610030208,147.4129358333,151.314959354
388,China,GDP per capita (current US$/inhab),1259.120525,2812.2728,6390.956972,8843.579277
389,China,Human Development Index (HDI) [highest = 1] (-),0.61,0.67,0.719,0.753
390,China,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4308,0.215,0.2043333333,0.1907
391,China,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),412.5870570271,415.1088190839,426.3109587007,411.7373028387
392,China,Total population with access to safe drinking-water (JMP) (%),82.8,88.5,93.2,95.5
393,China,Rural population with access to safe drinking-water (JMP) (%),73.8,81.2,88.5,93.0
394,China,Urban population with access to safe drinking-water (JMP) (%),97.3,97.4,97.5,97.5
396,Colombia,Rural population (1000 inhab),10477.378,10287.615,9985.405,9594.518
397,Colombia,Urban population (1000 inhab),31095.113,34086.957,36896.07,39471.097
398,Colombia,Population density (inhab/km2),35.8006218524,38.3074368294,40.3553474929,42.8376455771
399,Colombia,GDP per capita (current US$/inhab),2334.165707,4635.692195,7904.495734,6354.5494
400,Colombia,Human Development Index (HDI) [highest = 1] (-),0.667,0.713,0.736,0.76
401,Colombia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5156,0.49,0.462,0.4285
402,Colombia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),214.0959737113,257.544918646,275.394514742,278.287565003
403,Colombia,Total population with access to safe drinking-water (JMP) (%),90.1,90.7,91.2,91.4
404,Colombia,Rural population with access to safe drinking-water (JMP) (%),71.4,72.5,73.6,73.8
405,Colombia,Urban population with access to safe drinking-water (JMP) (%),97.1,97.0,96.9,96.8
418,Congo,Rural population (1000 inhab),1375.924,1515.245,1660.183,1764.522
419,Congo,Urban population (1000 inhab),2031.256,2461.001,2973.18,3496.228
420,Congo,Population density (inhab/km2),9.679494152,11.3336812865,13.1877163743,14.9435526316
421,Congo,GDP per capita (current US$/inhab),924.637953,2205.875176,3818.807922,2086.959331
422,Congo,Human Development Index (HDI) [highest = 1] (-),0.504,0.523,0.571,0.609
423,Congo,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.615,0.6188,0.618,0.5934
424,Congo,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),13.8956563085,23.6576844003,20.3316971158,17.9427651229
425,Congo,Total population with access to safe drinking-water (JMP) (%),70.1,72.8,75.3,76.5
426,Congo,Rural population with access to safe drinking-water (JMP) (%),32.7,35.8,38.8,40.0
427,Congo,Urban population with access to safe drinking-water (JMP) (%),95.3,95.5,95.7,95.8
440,Costa Rica,Rural population (1000 inhab),1554.034,1390.626,1212.562,1051.813
441,Costa Rica,Urban population (1000 inhab),2509.17,2978.843,3441.56,3853.956
442,Costa Rica,Population density (inhab/km2),80.2529354207,86.1962426614,91.7416829746,96.8679843444
443,Costa Rica,GDP per capita (current US$/inhab),4062.042919,6120.623515,9985.370345,11858.39574
444,Costa Rica,Human Development Index (HDI) [highest = 1] (-),0.717,0.742,0.774,0.792
445,Costa Rica,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.424,0.375,0.3463333333,0.3492
446,Costa Rica,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),,,498.933447099,645.2585215943
447,Costa Rica,Total population with access to safe drinking-water (JMP) (%),95.5,96.6,97.5,97.8
448,Costa Rica,Rural population with access to safe drinking-water (JMP) (%),89.3,90.5,91.7,91.9
449,Costa Rica,Urban population with access to safe drinking-water (JMP) (%),99.4,99.5,99.5,99.6
451,Côte d'Ivoire,Rural population (1000 inhab),9728.117,10292.928,11100.787,12068.187
452,Côte d'Ivoire,Urban population (1000 inhab),7638.4,8793.013,10317.816,12226.563
453,Côte d'Ivoire,Population density (inhab/km2),53.437756621,59.4530701482,66.8212739565,75.7845004032
454,Côte d'Ivoire,GDP per capita (current US$/inhab),710.964717,1065.803927,1250.655107,1570.209076
455,Côte d'Ivoire,Human Development Index (HDI) [highest = 1] (-),0.409,0.435,0.467,0.512
456,Côte d'Ivoire,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.6618,0.647,0.6789
457,Côte d'Ivoire,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),85.0162019771,76.265872208,57.9214533444,47.5499304961
458,Côte d'Ivoire,Total population with access to safe drinking-water (JMP) (%),78.5,79.8,81.2,81.9
459,Côte d'Ivoire,Rural population with access to safe drinking-water (JMP) (%),67.7,68.2,68.6,68.8
460,Côte d'Ivoire,Urban population with access to safe drinking-water (JMP) (%),91.7,92.3,92.8,93.1
462,Croatia,Rural population (1000 inhab),2030.408,1978.228,1911.684,1815.373
463,Croatia,Urban population (1000 inhab),2365.411,2384.038,2384.842,2373.98
464,Croatia,Population density (inhab/km2),77.7467102936,77.0882841491,75.9123166637,73.1013107305
465,Croatia,GDP per capita (current US$/inhab),6100.292071,13793.600259,13148.882911,13204.751536
466,Croatia,Human Development Index (HDI) [highest = 1] (-),0.767,0.801,0.82,0.835
467,Croatia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.2024,0.19,0.176,0.1489
468,Croatia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),130.4654739673,149.2223429283,162.076297325,170.9357981877
469,Croatia,Total population with access to safe drinking-water (JMP) (%),98.4,98.9,99.4,99.6
470,Croatia,Rural population with access to safe drinking-water (JMP) (%),96.6,97.9,99.2,99.7
471,Croatia,Urban population with access to safe drinking-water (JMP) (%),99.8,99.7,99.7,99.6
473,Cuba,Rural population (1000 inhab),2716.433,2676.725,2642.849,2644.108
474,Cuba,Urban population (1000 inhab),8501.565,8626.962,8739.297,8840.528
475,Cuba,Population density (inhab/km2),101.9169260169,102.3853125853,102.4490717146,105.5108774542
476,Cuba,GDP per capita (current US$/inhab),2994.339988,5184.485381,6425.941119,8433.092699
477,Cuba,Human Development Index (HDI) [highest = 1] (-),0.693,0.768,0.764,0.777
478,Cuba,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.403,0.3718,0.3536666667,0.3559
479,Cuba,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),468.4486475191,438.7740173824,590.3635014239,613.7088030659
480,Cuba,Total population with access to safe drinking-water (JMP) (%),91.2,92.7,94.1,94.9
481,Cuba,Rural population with access to safe drinking-water (JMP) (%),79.0,83.1,87.3,89.8
482,Cuba,Urban population with access to safe drinking-water (JMP) (%),95.1,95.6,96.1,96.4
484,Cyprus,Rural population (1000 inhab),305.847,340.577,371.602,391.192
485,Cyprus,Urban population (1000 inhab),671.119,723.135,763.46,788.359
486,Cyprus,Population density (inhab/km2),105.6177297297,114.996,122.7076756757,127.5327567568
487,Cyprus,GDP per capita (current US$/inhab),16041.793267,31353.202656,28912.42884,26473.007605
488,Cyprus,Human Development Index (HDI) [highest = 1] (-),0.814,0.844,0.852,0.871
