"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Antigua and Barbuda","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,,,,,,,,,,,,
"Antigua and Barbuda","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,98.6014432595,,2007,110.5100122071,,2012,127.199725691,,2017,120.5122293714,,,,
"Antigua and Barbuda","Total population with access to safe drinking-water (JMP) (%)",2002,97.7,,2007,97.9,,2012,97.9,,2017,97.9,,,,
"Antigua and Barbuda","Rural population with access to safe drinking-water (JMP) (%)",2002,97.7,,2007,97.9,,2012,97.9,,2017,97.9,,,,
"Antigua and Barbuda","Urban population with access to safe drinking-water (JMP) (%)",2002,97.7,,2007,97.9,,2012,97.9,,2017,97.9,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Argentina","Rural population (1000 inhab)",2002,3974.741,,2007,3850.764,,2012,3737.979,,2017,3652.804,,,,
"Argentina","Urban population (1000 inhab)",2002,33914.629,,2007,36119.46,,2012,38358.76,,2017,40618.237,,,,
"Argentina","Population density (inhab/km2)",2002,13.5526359517,,2007,14.2728726083,,2012,15.017693857,,2017,15.8024528845,,,,
"Argentina","GDP per capita (current US$/inhab)",2002,2918.591423,,2007,7249.274928,,2012,13811.780157,,2017,14517.291248,,,,
"Argentina","Human Development Index (HDI) [highest = 1] (-)",2002,0.77,,2007,0.806,,2012,0.823,,2017,0.832,,,,
"Argentina","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",2002,0.4074,,2007,0.3822,,2012,0.382,,2017,0.3756,,,,
"Argentina","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,843.6279059128,,2007,884.9218563666,,2012,904.7975729775,,2017,859.8647977542,,,,
"Argentina","Total population with access to safe drinking-water (JMP) (%)",2002,96.7,,2007,97.7,,2012,98.6,,2017,99.1,,,,
"Argentina","Rural population with access to safe drinking-water (JMP) (%)",2002,83.7,,2007,90.0,,2012,96.2,,2017,100.0,,,,
"Argentina","Urban population with access to safe drinking-water (JMP) (%)",2002,98.2,,2007,98.5,,2012,98.8,,2017,99.0,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Armenia","Rural population (1000 inhab)",2002,1085.046,,2007,1063.546,,2012,1059.405,,2017,1081.248,,,,
"Armenia","Urban population (1000 inhab)",2002,1948.851,,2007,1869.51,,2012,1822.517,,2017,1849.202,,,,
"Armenia","Population density (inhab/km2)",2002,102.0167451244,,2007,98.6085406859,,2012,96.9816408877,,2017,99.0178547411,,,,
"Armenia","GDP per capita (current US$/inhab)",2002,835.283238,,2007,3347.296067,,2012,3684.805034,,2017,3933.682101,,,,
"Armenia","Human Development Index (HDI) [highest = 1] (-)",2002,0.663,,2007,0.724,,2012,0.737,,2017,0.758,,,,
"Armenia","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",2002,0.4316,,2007,0.37,,2012,0.329,,2017,0.3176,,,,
"Armenia","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,571.3291263154,,2007,962.6211119212,,2012,1019.6814821544,,2017,973.1760250558,,,,
"Armenia","Total population with access to safe drinking-water (JMP) (%)",2002,93.7,,2007,96.7,,2012,99.7,,2017,100.0,,,,
"Armenia","Rural population with access to safe drinking-water (JMP) (%)",2002,84.7,,2007,92.0,,2012,99.4,,2017,100.0,,,,
"Armenia","Urban population with access to safe drinking-water (JMP) (%)",2002,98.7,,2007,99.3,,2012,99.8,,2017,100.0,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Australia","Rural population (1000 inhab)",2002,3072.827,,2007,3179.302,,2012,3331.639,,2017,3446.638,,,,
"Australia","Urban population (1000 inhab)",2002,16402.364,,2007,17767.362,,2012,19490.21,,2017,21003.923,,,,
"Australia","Population density (inhab/km2)",2002,2.5062416518,,2007,2.701944138,,2012,2.9587000499,,2017,3.1758069142,,,,
"Australia","GDP per capita (current US$/inhab)",2002,22344.906046,,2007,47030.849175,,2012,69701.081584,,2017,57917.093685,,,,
"Australia","Human Development Index (HDI) [highest = 1] (-)",2002,0.903,,2007,0.908,,2012,0.932,,2017,0.937,,,,
"Australia","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",2002,0.1504,,2007,0.137,,2012,0.12,,2017,0.1101,,,,
"Australia","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,1080.6325615802,,2007,784.6256496833,,2012,699.3990730332,,2017,673.3478085079,,,,
"Australia","Total population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,
"Australia","Rural population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,
"Australia","Urban population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Austria","Rural population (1000 inhab)",2002,3281.833,,2007,3470.218,,2012,3650.043,,2017,3660.707,,,,
"Austria","Urban population (1000 inhab)",2002,4852.579,,2007,4841.565,,2012,4867.505,,2017,5074.746,,,,
"Austria","Population density (inhab/km2)",2002,96.9767763472,,2007,99.1146518836,,2012,101.3617906533,,2017,105.1502879147,,,,
"Austria","GDP per capita (current US$/inhab)",2002,26232.686226,,2007,46761.506621,,2012,48068.438729,,2017,47887.17438,,,,
"Austria","Human Development Index (HDI) [highest = 1] (-)",2002,0.838,,2007,0.881,,2012,0.899,,2017,0.912,,,,
"Austria","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",2002,0.1476,,2007,0.1258,,2012,0.0776666667,,2017,0.0528,,,,
"Austria","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,440.0359034351,,2007,411.1279587293,,2012,410.7276834646,,2017,395.9341493742,,,,
"Austria","Total population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,
"Austria","Rural population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,
"Austria","Urban population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Azerbaijan","Rural population (1000 inhab)",2002,3990.569,,2007,4118.78,,2012,4272.681,,2017,4388.663,,,,
"Azerbaijan","Urban population (1000 inhab)",2002,4286.446,,2007,4605.524,,2012,4992.236,,2017,5438.926,,,,
"Azerbaijan","Population density (inhab/km2)",2002,95.5780715935,,2007,100.7418360277,,2012,106.9825866051,,2017,113.6872979215,,,,
"Azerbaijan","GDP per capita (current US$/inhab)",2002,753.417207,,2007,3788.202109,,2012,7520.835158,,2017,4158.357869,,,,
"Azerbaijan","Human Development Index (HDI) [highest = 1] (-)",2002,0.658,,2007,0.712,,2012,0.736,,2017,0.752,,,,
"Azerbaijan","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,,,,,,,2017,0.303,,,,
"Azerbaijan","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,1217.2074121479,,2007,1406.4257494891,,2012,1292.0019359521,,2017,1298.2411948012,,,,
"Azerbaijan","Total population with access to safe drinking-water (JMP) (%)",2002,75.8,,2007,80.2,,2012,84.5,,2017,87.0,,,,
"Azerbaijan","Rural population with access to safe drinking-water (JMP) (%)",2002,61.5,,2007,67.8,,2012,74.0,,2017,77.8,,,,
"Azerbaijan","Urban population with access to safe drinking-water (JMP) (%)",2002,89.2,,2007,91.3,,2012,93.4,,2017,94.7,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Bahamas","Rural population (1000 inhab)",2002,55.365,,2007,60.587,,2012,64.986,,2017,67.508,,,,
"Bahamas","Urban population (1000 inhab)",2002,253.792,,2007,281.741,,2012,307.053,,2017,327.853,,,,
"Bahamas","Population density (inhab/km2)",2002,22.1657060519,,2007,24.3075648415,,2012,26.1948126801,,2017,27.503962536,,,,
"Bahamas","GDP per capita (current US$/inhab)",2002,28727.151577,,2007,31017.912645,,2012,28815.527404,,2017,30732.419232,,,,
"Bahamas","Human Development Index (HDI) [highest = 1] (-)",2002,0.79,,2007,0.794,,2012,0.797,,2017,0.804,,,,
"Bahamas","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,,,,,,,2017,0.2979,,,,
"Bahamas","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",,,,,,,,,,,,,,,
"Bahamas","Total population with access to safe drinking-water (JMP) (%)",2002,96.9,,2007,97.6,,2012,98.4,,2017,98.4,,,,
"Bahamas","Rural population with access to safe drinking-water (JMP) (%)",2002,96.9,,2007,97.6,,2012,98.4,,2017,98.4,,,,
"Bahamas","Urban population with access to safe drinking-water (JMP) (%)",2002,96.9,,2007,97.6,,2012,98.4,,2017,98.4,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Bahrain","Rural population (1000 inhab)",2002,85.478,,2007,119.256,,2012,146.117,,2017,161.409,,,,
"Bahrain","Urban population (1000 inhab)",2002,649.67,,2007,916.635,,2012,1154.1,,2017,1331.175,,,,
"Bahrain","Population density (inhab/km2)",2002,1035.4169014084,,2007,1381.2253333333,,2012,1688.238961039,,2017,1915.482051282,,,,
"Bahrain","GDP per capita (current US$/inhab)",2002,13049.765634,,2007,20977.122529,,2012,23649.385091,,2017,23739.143918,,,,
"Bahrain","Human Development Index (HDI) [highest = 1] (-)",2002,0.792,,2007,0.796,,2012,0.8,,2017,0.839,,,,
"Bahrain","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,2007,0.3128,,2012,0.2593333333,,2017,0.2649,,,,
"Bahrain","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,481.2021641332,,2007,370.0008486097,,2012,319.748039496,,2017,290.7482618019,,,,
"Bahrain","Total population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,
"Bahrain","Rural population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,
"Bahrain","Urban population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Bangladesh","Rural population (1000 inhab)",2002,102783.564,,2007,105592.037,,2012,105905.797,,2017,105622.933,,,,
"Bangladesh","Urban population (1000 inhab)",2002,33817.103,,2007,41547.154,,2012,49821.256,,2017,59046.818,,,,
"Bangladesh","Population density (inhab/km2)",2002,892.3486865149,,2007,960.9347703085,,2012,1017.1476424626,,2017,1079.1232691567,,,,
"Bangladesh","GDP per capita (current US$/inhab)",2002,345.494326,,2007,542.519448,,2012,827.725854,,2017,1491.67341,,,,
"Bangladesh","Human Development Index (HDI) [highest = 1] (-)",2002,0.485,,2007,0.521,,2012,0.567,,2017,0.609,,,,
"Bangladesh","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,2007,0.5678,,2012,0.5323333333,,2017,0.5034,,,,
"Bangladesh","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",,,,,,,2012,237.5406407567,,2017,224.6291433588,,,,
"Bangladesh","Total population with access to safe drinking-water (JMP) (%)",2002,77.5,,2007,81.3,,2012,84.8,,2017,86.9,,,,
"Bangladesh","Rural population with access to safe drinking-water (JMP) (%)",2002,75.5,,2007,79.9,,2012,84.4,,2017,87.0,,,,
"Bangladesh","Urban population with access to safe drinking-water (JMP) (%)",2002,83.7,,2007,84.8,,2012,85.9,,2017,86.5,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Barbados","Rural population (1000 inhab)",2002,180.72,,2007,186.537,,2012,192.736,,2017,196.693,,,,
"Barbados","Urban population (1000 inhab)",2002,90.758,,2007,89.613,,2012,88.849,,2017,89.026,,,,
"Barbados","Population density (inhab/km2)",2002,635.8720930233,,2007,648.1395348837,,2012,659.7697674419,,2017,665.6558139535,,,,
"Barbados","GDP per capita (current US$/inhab)",2002,11789.822696,,2007,16925.583922,,2012,16371.951613,,2017,17423.251128,,,,
"Barbados","Human Development Index (HDI) [highest = 1] (-)",2002,0.774,,2007,0.796,,2012,0.811,,2017,0.813,,,,
"Barbados","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",2002,0.3544,,2007,0.3522,,2012,0.3523333333,,2017,0.357,,,,
"Barbados","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,296.2421139252,,2007,290.6350914962,,2012,285.5118593167,,2017,282.9872271444,,,,
"Barbados","Total population with access to safe drinking-water (JMP) (%)",2002,97.9,,2007,98.7,,2012,99.4,,2017,99.7,,,,
"Barbados","Rural population with access to safe drinking-water (JMP) (%)",2002,97.9,,2007,98.7,,2012,99.4,,2017,99.7,,,,
"Barbados","Urban population with access to safe drinking-water (JMP) (%)",2002,97.9,,2007,98.7,,2012,99.4,,2017,99.7,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Belarus","Rural population (1000 inhab)",2002,2850.055,,2007,2548.939,,2012,2301.873,,2017,2070.383,,,,
"Belarus","Urban population (1000 inhab)",2002,6957.077,,2007,6987.925,,2012,7169.857,,2017,7397.955,,,,
"Belarus","Population density (inhab/km2)",2002,46.9456791908,,2007,45.6672206166,,2012,45.3614932563,,2017,45.5213439306,,,,
"Belarus","GDP per capita (current US$/inhab)",2002,1538.53529,,2007,4908.033054,,2012,6934.943113,,2017,5779.833675,,,,
"Belarus","Human Development Index (HDI) [highest = 1] (-)",2002,0.696,,2007,0.756,,2012,0.803,,2017,0.815,,,,
"Belarus","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,,,,,,,2017,0.1507,,,,
"Belarus","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,183.1124666181,,2007,173.281725729,,2012,161.9757759847,,2017,147.82707428,,,,
"Belarus","Total population with access to safe drinking-water (JMP) (%)",2002,99.5,,2007,99.6,,2012,99.7,,2017,99.7,,,,
"Belarus","Rural population with access to safe drinking-water (JMP) (%)",2002,99.0,,2007,99.1,,2012,99.1,,2017,99.1,,,,
"Belarus","Urban population with access to safe drinking-water (JMP) (%)",2002,99.7,,2007,99.8,,2012,99.9,,2017,99.9,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Belgium","Rural population (1000 inhab)",2002,285.916,,2007,266.907,,2012,250.039,,2017,233.097,,,,
"Belgium","Urban population (1000 inhab)",2002,10078.969,,2007,10430.928,,2012,10833.511,,2017,11196.239,,,,
"Belgium","Population density (inhab/km2)",2002,339.4983622666,,2007,350.3954143465,,2012,363.0972158533,,2017,374.050049132,,,,
"Belgium","GDP per capita (current US$/inhab)",2002,24811.613253,,2007,43962.176891,,2012,44767.358857,,2017,44118.925664,,,,
"Belgium","Human Development Index (HDI) [highest = 1] (-)",2002,0.879,,2007,0.899,,2012,0.905,,2017,0.917,,,,
"Belgium","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",2002,0.1154,,2007,0.0996,,2012,0.0763333333,,2017,0.0633,,,,
"Belgium","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,650.0795715534,,2007,581.1879555473,,2012,450.5041695541,,2017,349.7450206432,,,,
"Belgium","Total population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,
"Belgium","Rural population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,
"Belgium","Urban population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Belize","Rural population (1000 inhab)",2002,143.26,,2007,163.292,,2012,184.356,,2017,203.824,,,,
"Belize","Urban population (1000 inhab)",2002,118.946,,2007,135.115,,2012,152.345,,2017,170.857,,,,
"Belize","Population density (inhab/km2)",2002,11.4226382238,,2007,13.018067044,,2012,14.7148454506,,2017,16.3591205921,,,,
"Belize","GDP per capita (current US$/inhab)",2002,3528.001707,,2007,4261.293912,,2012,4523.003466,,2017,4901.752333,,,,
"Belize","Human Development Index (HDI) [highest = 1] (-)",2002,0.655,,2007,0.678,,2012,0.706,,2017,0.719,,,,
"Belize","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",2002,0.5106,,2007,0.4742,,2012,0.4406666667,,2017,0.4257,,,,
"Belize","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,384.9408105863,,2007,337.7644009698,,2012,298.8165680473,,2017,268.7821507362,,,,
"Belize","Total population with access to safe drinking-water (JMP) (%)",2002,87.5,,2007,93.5,,2012,99.3,,2017,99.5,,,,
"Belize","Rural population with access to safe drinking-water (JMP) (%)",2002,82.2,,2007,91.5,,2012,100.0,,2017,100.0,,,,
"Belize","Urban population with access to safe drinking-water (JMP) (%)",2002,93.4,,2007,95.9,,2012,98.4,,2017,98.9,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Benin","Rural population (1000 inhab)",2002,4447.579,,2007,4941.169,,2012,5436.123,,2017,5949.046,,,,
"Benin","Urban population (1000 inhab)",2002,2847.815,,2007,3513.622,,2012,4293.037,,2017,5226.646,,,,
"Benin","Population density (inhab/km2)",2002,63.5708783548,,2007,73.6736929244,,2012,84.7790955037,,2017,97.37886023,,,,
"Benin","GDP per capita (current US$/inhab)",2002,418.702507,,2007,706.041722,,2012,834.303975,,2017,829.419035,,,,
"Benin","Human Development Index (HDI) [highest = 1] (-)",2002,0.419,,2007,0.455,,2012,0.489,,2017,0.515,,,,
"Benin","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,2007,0.634,,2012,0.6126666667,,2017,0.6143,,,,
"Benin","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,19.0139539707,,2007,21.5600446144,,2012,23.2142422151,,2017,20.9392263117,,,,
"Benin","Total population with access to safe drinking-water (JMP) (%)",2002,67.7,,2007,72.0,,2012,76.2,,2017,77.9,,,,
"Benin","Rural population with access to safe drinking-water (JMP) (%)",2002,60.5,,2007,65.3,,2012,70.2,,2017,72.1,,,,
"Benin","Urban population with access to safe drinking-water (JMP) (%)",2002,79.1,,2007,81.6,,2012,84.2,,2017,85.2,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Bhutan","Rural population (1000 inhab)",2002,439.213,,2007,463.91,,2012,479.102,,2017,483.217,,,,
"Bhutan","Urban population (1000 inhab)",2002,167.186,,2007,223.048,,2012,273.865,,2017,324.393,,,,
"Bhutan","Population density (inhab/km2)",2002,15.3697105788,,2007,17.3189893201,,2012,18.2750976817,,2017,19.4187373027,,,,
"Bhutan","GDP per capita (current US$/inhab)",2002,885.632409,,2007,1741.141149,,2012,2422.005388,,2017,3130.235119,,,,
"Bhutan","Human Development Index (HDI) [highest = 1] (-)",2002,,,2007,0.539,,2012,0.591,,2017,0.615,,,,
"Bhutan","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,,,,,,,2017,0.4574,,,,
"Bhutan","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",,,,,,,2012,481.7690330838,,2017,453.3486774424,,,,
"Bhutan","Total population with access to safe drinking-water (JMP) (%)",2002,86.6,,2007,92.7,,2012,98.0,,2017,100.0,,,,
"Bhutan","Rural population with access to safe drinking-water (JMP) (%)",2002,82.0,,2007,89.6,,2012,97.1,,2017,100.0,,,,
"Bhutan","Urban population with access to safe drinking-water (JMP) (%)",2002,98.5,,2007,99.1,,2012,99.7,,2017,100.0,,,,

