

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Comoros",174,"SDG 6.4.2. Water Stress",4550,2002,0.8333333333,"I","","0"
"Comoros",174,"SDG 6.4.1. Water Use Efficiency",4551,2002,43.8525466145,"I","","0"
"Congo",178,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.0055288462,"E","","0"
"Congo",178,"SDG 6.4.2. Water Stress",4550,2002,0.0274463007,"E","","0"
"Congo",178,"SDG 6.4.1. Water Use Efficiency",4551,2002,144.0840461741,"I","","0"
"Côte d'Ivoire",384,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.7410981697,"I","","0"
"Côte d'Ivoire",384,"SDG 6.4.2. Water Stress",4550,2002,6.4140105079,"E","","0"
"Côte d'Ivoire",384,"SDG 6.4.1. Water Use Efficiency",4551,2002,9.3206312111,"I","","0"
"Croatia",191,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.5436018957,"E","","0"
"Croatia",191,"SDG 6.4.2. Water Stress",4550,2002,1.2750111161,"E","","0"
"Cuba",192,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,13.7619658018,"E","","0"
"Cuba",192,"SDG 6.4.2. Water Stress",4550,2002,18.0494111943,"E","","0"
"Cuba",192,"SDG 6.4.1. Water Use Efficiency",4551,2002,8.5794877553,"I","","0"
"Cyprus",196,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,21.8846153846,"E","","0"
"Cyprus",196,"SDG 6.4.2. Water Stress",4550,2002,23.3324220886,"E","","0"
"Cyprus",196,"SDG 6.4.1. Water Use Efficiency",4551,2002,69.2083325663,"I","","0"
"Czechia",203,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,14.5102661597,"E","","0"
"Czechia",203,"SDG 6.4.2. Water Stress",4550,2002,29.0161192214,"E","","0"
"Democratic People's Republic of Korea",408,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,11.1425534673,"E","","0"
"Democratic People's Republic of Korea",408,"SDG 6.4.2. Water Stress",4550,2002,27.5439923102,"E","","0"
"Democratic People's Republic of Korea",408,"SDG 6.4.1. Water Use Efficiency",4551,2002,1.5448625274,"I","","0"
"Democratic Republic of the Congo",180,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.0486282151,"I","","0"
"Democratic Republic of the Congo",180,"SDG 6.4.2. Water Stress",4550,2002,0.2070693661,"E","","0"
"Democratic Republic of the Congo",180,"SDG 6.4.1. Water Use Efficiency",4551,2002,18.9412847165,"I","","0"
"Denmark",208,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,10.89,"E","","0"
"Denmark",208,"SDG 6.4.2. Water Stress",4550,2002,17.6690102758,"E","","0"
"Djibouti",262,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,6.3333333333,"I","","0"
"Djibouti",262,"SDG 6.4.2. Water Stress",4550,2002,6.3333333333,"I","","0"
"Dominica",212,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,8.3,"I","","0"
"Dominica",212,"SDG 6.4.2. Water Stress",4550,2002,8.3,"I","","0"
"Dominican Republic",214,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,21.7319148936,"E","","0"
"Dominican Republic",214,"SDG 6.4.2. Water Stress",4550,2002,28.3030370206,"E","","0"
"Dominican Republic",214,"SDG 6.4.1. Water Use Efficiency",4551,2002,6.0951336287,"I","","0"
"Ecuador",218,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,2.1668399638,"I","","0"
"Ecuador",218,"SDG 6.4.2. Water Stress",4550,2002,6.5568399453,"E","","0"
"Ecuador",218,"SDG 6.4.1. Water Use Efficiency",4551,2002,5.1373236207,"I","","0"
"Egypt",818,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,120.5391304348,"E","","0"
"Egypt",818,"SDG 6.4.2. Water Stress",4550,2002,126.247723133,"E","","0"
"Egypt",818,"SDG 6.4.1. Water Use Efficiency",4551,2002,2.4498748235,"E","","0"
"El Salvador",222,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,6.3672630377,"I","","0"
"El Salvador",222,"SDG 6.4.2. Water Stress",4550,2002,10.4346849657,"E","","0"
"El Salvador",222,"SDG 6.4.1. Water Use Efficiency",4551,2002,9.5240970122,"I","","0"
"Equatorial Guinea",226,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.0706153846,"E","","0"
"Equatorial Guinea",226,"SDG 6.4.2. Water Stress",4550,2002,0.1701575533,"E","","0"
"Eritrea",232,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,6.8038277512,"I","","0"
"Eritrea",232,"SDG 6.4.2. Water Stress",4550,2002,9.5564516129,"E","","0"
"Eritrea",232,"SDG 6.4.1. Water Use Efficiency",4551,2002,5.6045880873,"I","","0"
"Estonia",233,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,11.0370138997,"E","","0"
"Estonia",233,"SDG 6.4.2. Water Stress",4550,2002,15.2965367965,"E","","0"
"Estonia",233,"SDG 6.4.1. Water Use Efficiency",4551,2002,9.5637258525,"I","","0"
"Eswatini",748,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,23.3348115299,"E","","0"
"Eswatini",748,"SDG 6.4.2. Water Stress",4550,2002,76.4270152505,"E","","0"
"Eswatini",748,"SDG 6.4.1. Water Use Efficiency",4551,2002,2.1840556102,"I","","0"
"Ethiopia",231,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,4.5557377049,"E","","0"
"Ethiopia",231,"SDG 6.4.2. Water Stress",4550,2002,16.996941896,"E","","0"
"Ethiopia",231,"SDG 6.4.1. Water Use Efficiency",4551,2002,1.8554158445,"E","","0"
"Fiji",242,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.290647986,"E","","0"
"Fiji",242,"SDG 6.4.2. Water Stress",4550,2002,0.290647986,"E","","0"
"Finland",246,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,3.7738831169,"E","","0"
"Finland",246,"SDG 6.4.2. Water Stress",4550,2002,9.8441342864,"E","","0"
"France",250,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,15.3336492891,"E","","0"
"France",250,"SDG 6.4.2. Water Stress",4550,2002,28.3235577344,"E","","0"
"Gabon",266,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.077,"I","","0"
"Gabon",266,"SDG 6.4.2. Water Stress",4550,2002,0.4614440433,"E","","0"
"Gabon",266,"SDG 6.4.1. Water Use Efficiency",4551,2002,69.2504858355,"E","","0"
"Gambia",270,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.18675,"E","","0"
"Gambia",270,"SDG 6.4.2. Water Stress",4550,2002,2.0648107873,"E","","0"
"Gambia",270,"SDG 6.4.1. Water Use Efficiency",4551,2002,8.080211783,"I","","0"
"Georgia",268,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,2.9599242065,"E","","0"
"Georgia",268,"SDG 6.4.2. Water Stress",4550,2002,6.1059283388,"E","","0"
"Germany",276,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,23.9981447124,"E","","0"
"Germany",276,"SDG 6.4.2. Water Stress",4550,2002,50.6539786967,"E","","0"
"Ghana",288,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.84386121,"E","","0"
"Ghana",288,"SDG 6.4.2. Water Stress",4550,2002,4.5172188317,"E","","0"
"Ghana",288,"SDG 6.4.1. Water Use Efficiency",4551,2002,15.1013123356,"I","","0"
"Greece",300,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,13.5029239766,"E","","0"
"Greece",300,"SDG 6.4.2. Water Stress",4550,2002,18.6850091038,"E","","0"
"Greece",300,"SDG 6.4.1. Water Use Efficiency",4551,2002,20.4282070998,"E","","0"
"Guatemala",320,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,2.0379470684,"E","","0"
"Guatemala",320,"SDG 6.4.2. Water Stress",4550,2002,4.5029160395,"E","","0"
"Guatemala",320,"SDG 6.4.1. Water Use Efficiency",4551,2002,12.979209452,"I","","0"
"Guinea",324,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.248340708,"I","","0"
"Guinea",324,"SDG 6.4.2. Water Stress",4550,2002,0.8634615385,"E","","0"
"Guinea",324,"SDG 6.4.1. Water Use Efficiency",4551,2002,7.2509074482,"I","","0"
"Guinea-Bissau",624,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.5573248408,"I","","0"
"Guinea-Bissau",624,"SDG 6.4.2. Water Stress",4550,2002,1.4957264957,"E","","0"
"Guinea-Bissau",624,"SDG 6.4.1. Water Use Efficiency",4551,2002,2.151047187,"I","","0"
"Guyana",328,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.5938302583,"E","","0"
"Guyana",328,"SDG 6.4.2. Water Stress",4550,2002,3.6741552511,"E","","0"
"Haiti",332,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,9.7511054058,"I","","0"
"Haiti",332,"SDG 6.4.2. Water Stress",4550,2002,12.6204541259,"E","","0"
"Haiti",332,"SDG 6.4.1. Water Use Efficiency",4551,2002,4.0213565009,"I","","0"
"Hungary",348,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,5.5384615385,"E","","0"
"Hungary",348,"SDG 6.4.2. Water Stress",4550,2002,9.9481865285,"E","","0"
"Hungary",348,"SDG 6.4.1. Water Use Efficiency",4551,2002,14.440647635,"I","","0"
"Iceland",352,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.0970588235,"E","","0"
"Iceland",352,"SDG 6.4.2. Water Stress",4550,2002,0.2242152466,"E","","0"
"India",356,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,33.5192568947,"E","","0"
"India",356,"SDG 6.4.2. Water Stress",4550,2002,65.7752598069,"E","","0"
"India",356,"SDG 6.4.1. Water Use Efficiency",4551,2002,1.1336990997,"I","","0"
"Indonesia",360,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,6.2882362411,"I","","0"
"Indonesia",360,"SDG 6.4.2. Water Stress",4550,2002,16.9321895425,"E","","0"
"Iran (Islamic Republic of)",364,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,66.2545149403,"E","","0"
"Iran (Islamic Republic of)",364,"SDG 6.4.2. Water Stress",4550,2002,79.407494862,"E","","0"
"Iran (Islamic Republic of)",364,"SDG 6.4.1. Water Use Efficiency",4551,2002,3.0349937977,"I","","0"
"Iraq",368,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,69.3052049219,"I","","0"
"Iraq",368,"SDG 6.4.2. Water Stress",4550,2002,87.4686195827,"E","","0"
"Iraq",368,"SDG 6.4.1. Water Use Efficiency",4551,2002,1.1962424649,"I","","0"
"Ireland",372,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.7342657343,"I","","0"
"Ireland",372,"SDG 6.4.2. Water Stress",4550,2002,4.3398372561,"E","","0"
"Ireland",372,"SDG 6.4.1. Water Use Efficiency",4551,2002,154.8562071812,"I","","0"
"Israel",376,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,86.7134831461,"E","","0"
"Israel",376,"SDG 6.4.2. Water Stress",4550,2002,133.1636614615,"E","","0"
"Israel",376,"SDG 6.4.1. Water Use Efficiency",4551,2002,89.1881999727,"E","","0"
"Italy",380,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,21.8161922761,"E","","0"
"Italy",380,"SDG 6.4.2. Water Stress",4550,2002,36.7736151416,"E","","0"
"Italy",380,"SDG 6.4.1. Water Use Efficiency",4551,2002,39.7493433104,"I","","0"
"Jamaica",388,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,11.0347012315,"I","","0"
"Jamaica",388,"SDG 6.4.2. Water Stress",4550,2002,11.0347012315,"I","","0"
"Jamaica",388,"SDG 6.4.1. Water Use Efficiency",4551,2002,13.4761721281,"I","","0"
"Japan",392,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,19.6395348837,"E","","0"
"Japan",392,"SDG 6.4.2. Water Stress",4550,2002,38.8275862069,"E","","0"
"Japan",392,"SDG 6.4.1. Water Use Efficiency",4551,2002,46.3494175153,"I","","0"
"Jordan",400,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,78.8329013569,"E","","0"
"Jordan",400,"SDG 6.4.2. Water Stress",4550,2002,81.810198883,"E","","0"
"Jordan",400,"SDG 6.4.1. Water Use Efficiency",4551,2002,22.7423730911,"E","","0"
"Kazakhstan",398,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,20.5331611475,"E","","0"
"Kazakhstan",398,"SDG 6.4.2. Water Stress",4550,2002,30.8737864078,"E","","0"
"Kazakhstan",398,"SDG 6.4.1. Water Use Efficiency",4551,2002,3.1865623468,"I","","0"
"Kenya",404,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,6.7317297252,"E","","0"
"Kenya",404,"SDG 6.4.2. Water Stress",4550,2002,17.0374363202,"E","","0"
"Kenya",404,"SDG 6.4.1. Water Use Efficiency",4551,2002,11.0498336235,"I","","0"
"Kuwait",414,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,2075.0,"E","","0"
"Kuwait",414,"SDG 6.4.2. Water Stress",4550,2002,2075.0,"E","","0"
"Kuwait",414,"SDG 6.4.1. Water Use Efficiency",4551,2002,72.0149489327,"E","","0"
"Kyrgyzstan",417,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,39.3301719028,"I","","0"
"Kyrgyzstan",417,"SDG 6.4.2. Water Stress",4550,2002,60.3103493053,"E","","0"
"Kyrgyzstan",417,"SDG 6.4.1. Water Use Efficiency",4551,2002,0.3409580437,"I","","0"
"Latvia",428,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.6997710361,"E","","0"
"Latvia",428,"SDG 6.4.2. Water Stress",4550,2002,1.4407778433,"E","","0"
"Lebanon",422,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,27.0219853431,"E","","0"
"Lebanon",422,"SDG 6.4.2. Water Stress",4550,2002,39.4808565866,"E","","0"
"Lebanon",422,"SDG 6.4.1. Water Use Efficiency",4551,2002,19.5827179922,"I","","0"
"Lesotho",426,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.4493712773,"E","","0"
"Lesotho",426,"SDG 6.4.2. Water Stress",4550,2002,2.5659050967,"E","","0"
"Lesotho",426,"SDG 6.4.1. Water Use Efficiency",4551,2002,30.3839246039,"I","","0"
"Liberia",430,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.0589827586,"E","","0"
"Liberia",430,"SDG 6.4.2. Water Stress",4550,2002,0.2478985507,"E","","0"
"Liberia",430,"SDG 6.4.1. Water Use Efficiency",4551,2002,1.8204251438,"E","","0"
"Libya",434,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,648.4857142857,"E","","0"
"Libya",434,"SDG 6.4.2. Water Stress",4550,2002,648.4857142857,"E","","0"
"Libya",434,"SDG 6.4.1. Water Use Efficiency",4551,2002,21.2367122114,"I","","0"
"Lithuania",440,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,10.5704631083,"E","","0"
"Lithuania",440,"SDG 6.4.2. Water Stress",4550,2002,18.6716904221,"E","","0"
"Luxembourg",442,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.6188571429,"I","","0"
"Luxembourg",442,"SDG 6.4.2. Water Stress",4550,2002,4.6981757877,"E","","0"
"Madagascar",450,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,3.9776735905,"I","","0"
"Madagascar",450,"SDG 6.4.2. Water Stress",4550,2002,11.2173723849,"E","","0"
"Madagascar",450,"SDG 6.4.1. Water Use Efficiency",4551,2002,0.4035454218,"I","","0"
"Malawi",454,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,7.7431712963,"E","","0"
"Malawi",454,"SDG 6.4.2. Water Stress",4550,2002,17.2625467682,"E","","0"
"Malawi",454,"SDG 6.4.1. Water Use Efficiency",4551,2002,1.3733556644,"I","","0"
"Malaysia",458,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.9859165154,"I","","0"
"Malaysia",458,"SDG 6.4.2. Water Stress",4550,2002,2.9324696356,"E","","0"
"Malaysia",458,"SDG 6.4.1. Water Use Efficiency",4551,2002,27.1239835205,"I","","0"
"Maldives",462,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,16.9166666667,"E","","0"
"Maldives",462,"SDG 6.4.2. Water Stress",4550,2002,16.9166666667,"E","","0"
"Mali",466,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,4.2527192982,"E","","0"
"Mali",466,"SDG 6.4.2. Water Stress",4550,2002,7.8754061079,"E","","0"
"Mali",466,"SDG 6.4.1. Water Use Efficiency",4551,2002,0.5438609101,"E","","0"
"Malta",470,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,67.3267326733,"E","","0"
"Malta",470,"SDG 6.4.2. Water Stress",4550,2002,67.3267326733,"E","","0"
"Malta",470,"SDG 6.4.1. Water Use Efficiency",4551,2002,110.7382424398,"I","","0"
"Mauritania",478,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,12.9043859649,"E","","0"
"Mauritania",478,"SDG 6.4.2. Water Stress",4550,2002,14.4537237178,"E","","0"
"Mauritania",478,"SDG 6.4.1. Water Use Efficiency",4551,2002,1.4823856992,"I","","0"
"Mauritius",480,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,24.9606203805,"I","","0"
"Mauritius",480,"SDG 6.4.2. Water Stress",4550,2002,24.9606203805,"I","","0"
"Mauritius",480,"SDG 6.4.1. Water Use Efficiency",4551,2002,8.1599653611,"I","","0"
"Mexico",484,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,15.6531453513,"E","","0"
"Mexico",484,"SDG 6.4.2. Water Stress",4550,2002,27.1205005477,"E","","0"
"Mexico",484,"SDG 6.4.1. Water Use Efficiency",4551,2002,11.1318036512,"I","","0"
